科目名,単位,成績,年度
【基礎科目】,,,
<基礎ゼミナール>,,,
基礎ゼミナール,2.00,4,24
小計,2.00,,
<情報科目>,,,
(情報リテラシー I ),,,
情報リテラシー実践 I,2.00,4,24
(情報リテラシー II ),,,
情報リテラシー実践 II B,2.00,3,24
情報リテラシー実践 II C,2.00,4,24
小計,6.00,,
<理系共通基礎科目>,,,
微分積分 I,2.00,3,24
線形代数 I,2.00,3,24
微分積分 II,2.00,4,24
線形代数 II,2.00,3,24
解析入門 I,2.00,0,25
解析入門 II,2.00,2,25
離散数学入門,2.00,3,25
応用数理概論 I,2.00,3,25
小計,14.00,,
<基礎英語>,,,
(Academic English),,,
Academic English I,2.00,3,24
Academic English II,2.00,3,24
(Practical English),,,
Practical English I,1.00,4,24
Practical English II,1.00,3,24
Practical English III,1.00,4,25
Practical English IV,1.00,4,25
小計,8.00,,
基礎科目計,30.00,,
【教養科目】,,,
<科学・技術・産業>,,,
自然災害と社会,2.00,4,24
ツーリズム産業論,2.00,3,24
科学史A,2.00,3,24
小計,6.00,,
教養科目計,6.00,,
【基盤科目】,,,
<人文科学領域>,,,
哲学B,2.00,3,24
論理学A,2.00,1,24
小計,2.00,,
<社会科学領域>,,,
会計学入門,2.00,3,24
小計,2.00,,
<自然科学領域>,,,
計算の理論,2.00,4,24
情報科学入門,2.00,4,24
科目名,単位,成績,年度
小計,4.00,,
基盤科目計,8.00,,
【専門教育科目】,,,
<システムデザイン学部>,,,
(情報科学科),,,
プログラミング基礎演習 I,2.00,5,24
情報数学 I,2.00,3,24
データ構造とアルゴリズム I,2.00,3,24
プログラミング基礎演習 II,2.00,5,25
データ構造とアルゴリズム II,2.00,3,25
形式言語とオートマトン,2.00,3,25
言語処理系,2.00,4,25
計算機システム,2.00,1,25
データ構造とアルゴリズム演習,2.00,5,25
情報数学 II,2.00,3,25
実践数値計算,2.00,4,25
人工知能,2.00,3,25
離散数学,2.00,4,25
ソフトウェア構成論,2.00,4,25
コンピュータネットワーク,2.00,1,25
ソフトウェア設計論,2.00,4,25
データベース,2.00,2,25
システムプログラミング実験,2.00,5,25
情報科学概論1,2.00,4,24
情報科学概論2,2.00,4,24
情報科学概論3,2.00,3,25
小計,38.00,,
専門教育科目計,38.00,,
総計,82.00,,
累積GPA,2.30,,
年度GPA,2.19,,
学期GPA,2.52,,
科目名,単位,成績,年度
科目名,単位,成績,年度
